scenario,hour,x,q,r,m,u,l,S
1,1,82.6014481457051,0.0,0.0,90.2985518542949,0.0,0.0,60.0
1,2,148.313638558526,0.0,0.0,5.18636144147399,0.0,0.0,60.0
1,3,67.6450145209478,0.0,0.0,54.6549854790522,0.0,0.0,60.0
1,4,0.0,39.4,0.0,140.0,0.0,0.0,97.43
1,5,78.7024457433581,23.7578947368421,0.0,26.255448993484,0.0,0.0,120.0
1,6,0.0,0.0,0.0,90.1,0.0,0.0,120.0
1,7,0.0,0.0,0.0,105.7,0.0,0.0,120.0
1,8,23.4586793581572,0.0,47.3278323985922,46.0134882432506,0.0,0.0,70.1812290541135
1,9,126.264246360882,0.0,27.535753639118,0.0,0.0,0.0,41.1962252234629
1,10,217.723280891609,45.0,0.0,0.0,5.323280891609,0.0,83.9462252234629
1,11,201.869456144337,16.469456144337,0.0,0.0,0.0,0.0,99.5922085605831
1,12,44.0144934023308,0.0,0.0,145.485506597669,0.0,0.0,99.5922085605831
1,13,217.381885725702,21.481885725702,0.0,0.0,0.0,0.0,120.0
1,14,152.543256449065,0.0,0.0,46.456743550935,0.0,0.0,120.0
1,15,208.049654758074,-7.47939721852737e-15,0.0,4.35034524192599,0.0,0.0,120.0
1,16,193.200304792524,0.0,0.0,27.499695207476,0.0,0.0,120.0
1,17,132.275633775017,0.0,0.0,100.924366224983,0.0,0.0,120.0
1,18,119.316613321806,0.0,55.0,61.583386678194,0.0,0.0,62.1052631578947
1,19,194.07262025063,0.0,17.72737974937,0.0,0.0,0.0,43.4448634217158
1,20,157.730518933783,0.0,41.27262025063,2.49686081558701,0.0,0.0,0.0
1,21,216.896559988002,21.696559988002,0.0,0.0,0.0,0.0,20.6117319886019
1,22,167.854583788348,0.0,6.80228617837251,17.3431300332795,0.0,0.0,13.4514307482098
1,23,234.835336054516,43.735336054516,0.0,0.0,0.0,0.0,55.0
1,24,166.728639453893,0.0,0.0,11.471360546107,0.0,0.0,55.0
2,1,82.6014481457051,0.0,0.0,78.5985518542949,0.0,0.0,60.0
2,2,148.313638558526,10.013638558526,0.0,0.0,0.0,0.0,69.5129566305997
2,3,67.6450145209478,0.0,0.0,33.3549854790522,0.0,0.0,69.5129566305997
2,4,0.0,22.441810434958,0.0,95.841810434958,0.0,0.0,90.8326765438098
2,5,78.7024457433581,30.7024457433581,0.0,0.0,0.0,0.0,120.0
2,6,0.0,0.0,0.0,53.1,0.0,0.0,120.0
2,7,0.0,0.0,40.5365958691174,23.6634041308826,0.0,0.0,77.3298990851396
2,8,23.4586793581572,0.0,48.8413206418428,0.0,0.0,0.0,25.9179826200419
2,9,126.264246360882,10.264246360882,0.0,0.0,0.0,0.0,35.6690166628798
2,10,217.723280891609,45.0,0.0,0.0,37.623280891609,0.0,78.4190166628798
2,11,201.869456144337,43.769456144337,0.0,0.0,0.0,0.0,120.0
2,12,44.0144934023308,0.0,51.1432739965845,70.5422326010847,0.0,0.0,66.1649747404374
2,13,217.381885725702,42.081885725702,0.0,0.0,0.0,0.0,106.142766179854
2,14,152.543256449065,0.0,0.0,28.456743550935,0.0,0.0,106.142766179854
2,15,208.049654758074,11.949654758074,0.0,0.0,0.0,0.0,117.494938200025
2,16,193.200304792524,0.0,0.0,8.09969520747597,0.0,0.0,117.494938200025
2,17,132.275633775017,0.0,55.0,23.324366224983,0.0,0.0,59.6002013579194
2,18,119.316613321806,0.0,55.0,34.983386678194,0.0,0.0,1.7054645158141
